city,year,pop,%change
Indianapolis,2010,829852,
Los Angeles,2010,3792621,
New York,2010,8175133,
Ft. Worth,2010,741206,
Phoenix,2010,1445632,
San Antonio,2010,1327407,
San Diego,2010,1307402,
San Francisco,2010,805235,
Baltimore,2010,620961,
Boston,2010,617594,
Buffalo,2010,261310,
Chicago,2010,2695598,
Cincinnati,2010,296945,
Cleveland,2010,396815,
Detroit,2010,713777,
Milwaukee,2010,594833,
Philadelphia,2010,1526006,
St. Louis,2010,319294,
Jacksonville,1850,1045,
Jacksonville,1860,2118,
Jacksonville,1870,6912,
Jacksonville,1880,7650,
Jacksonville,1890,17201,
Jacksonville,1900,28429,
Jacksonville,1910,57699,
Jacksonville,1920,91558,
Jacksonville,1930,129549,
Jacksonville,1940,173065,
Jacksonville,1950,204275,
Jacksonville,1960,201030,
Jacksonville,1970,528865,
Jacksonville,1980,540920,
Jacksonville,1990,635230,
Jacksonville,2000,735503,
Jacksonville,2010,821784,
Columbus,1850,17882,
Columbus,1860,18554,
Columbus,1870,31274,
Columbus,1880,51647,
Columbus,1890,88150,
Columbus,1900,125560,
Columbus,1910,181511,
Columbus,1920,237031,
Columbus,1930,290564,
Columbus,1940,306087,
Columbus,1950,375901,
Columbus,1960,471316,
Columbus,1970,539677,
Columbus,1980,564871,
Columbus,1990,632910,
Columbus,2000,711470,
Columbus,2010,787033,
Charlotte,1850,1065,
Charlotte,1860,2265,
Charlotte,1870,4473,
Charlotte,1880,7094,
Charlotte,1890,11557,
Charlotte,1900,18091,
Charlotte,1910,34014,
Charlotte,1920,46338,
Charlotte,1930,82675,
Charlotte,1940,100899,
Charlotte,1950,134042,
Charlotte,1960,201564,
Charlotte,1970,241420,
Charlotte,1980,315474,
Charlotte,1990,395934,
Charlotte,2000,540282,
Charlotte,2010,731202,
El Paso,1850,200,
El Paso,1860,428,
El Paso,1870,,
El Paso,1880,736,
El Paso,1890,10338,
El Paso,1900,15906,
El Paso,1910,39279,
El Paso,1920,77560,
El Paso,1930,102421,
El Paso,1940,96810,
El Paso,1950,130003,
El Paso,1960,276687,
El Paso,1970,339615,
El Paso,1980,425259,
El Paso,1990,515342,
El Paso,2000,563662,
El Paso,2010,649121,
Memphis,1850,8841,
Memphis,1860,22623,
Memphis,1870,40226,
Memphis,1880,33592,
Memphis,1890,64495,
Memphis,1900,102320,
Memphis,1910,131105,
Memphis,1920,162351,
Memphis,1930,253143,
Memphis,1940,292942,
Memphis,1950,396000,
Memphis,1960,497524,
Memphis,1970,623530,
Memphis,1980,646356,
Memphis,1990,610337,
Memphis,2000,650100,
Memphis,2010,646889,
Pittsburgh,1850,8841,
Pittsburgh,1860,22623,
Pittsburgh,1870,40226,
Pittsburgh,1880,33592,
Pittsburgh,1890,64495,
Pittsburgh,1900,102320,
Pittsburgh,1910,131105,
Pittsburgh,1920,162351,
Pittsburgh,1930,253143,
Pittsburgh,1940,292942,
Pittsburgh,1950,396000,
Pittsburgh,1960,497524,
Pittsburgh,1970,623530,
Pittsburgh,1980,646356,
Pittsburgh,1990,610337,
Pittsburgh,2000,650100,
Pittsburgh,2010,646889,
Washington DC,1850,51687,
Washington DC,1860,75080,
Washington DC,1870,131700,
Washington DC,1880,177624,
Washington DC,1890,230392,
Washington DC,1900,278718,
Washington DC,1910,331069,
Washington DC,1920,437571,
Washington DC,1930,486869,
Washington DC,1940,663091,
Washington DC,1950,802178,
Washington DC,1960,763956,
Washington DC,1970,756510,
Washington DC,1980,638333,
Washington DC,1990,606900,
Washington DC,2000,572059,
Washington DC,2010,601723,
New Orleans,1850,116375,
New Orleans,1860,168675,
New Orleans,1870,191418,
New Orleans,1880,216090,
New Orleans,1890,242039,
New Orleans,1900,287104,
New Orleans,1910,339075,
New Orleans,1920,387219,
New Orleans,1930,458762,
New Orleans,1940,494537,
New Orleans,1950,570445,
New Orleans,1960,627525,
New Orleans,1970,593471,
New Orleans,1980,557515,
New Orleans,1990,496938,
New Orleans,2000,484674,
New Orleans,2010,343829,
Kansas City,1850,2500,
Kansas City,1860,4418,
Kansas City,1870,32260,
Kansas City,1880,55785,
Kansas City,1890,132716,
Kansas City,1900,163752,
Kansas City,1910,248381,
Kansas City,1920,324410,
Kansas City,1930,399746,
Kansas City,1940,400178,
Kansas City,1950,456622,
Kansas City,1960,475539,
Kansas City,1970,507087,
Kansas City,1980,448159,
Kansas City,1990,435146,
Kansas City,2000,441545,
Kansas City,2010,459787,
Seattle,1850,,
Seattle,1860,188,
Seattle,1870,1151,
Seattle,1880,3533,
Seattle,1890,42837,
Seattle,1900,80671,
Seattle,1910,237194,
Seattle,1920,315312,
Seattle,1930,365583,
Seattle,1940,368302,
Seattle,1950,467591,
Seattle,1960,557087,
Seattle,1970,530831,
Seattle,1980,493846,
Seattle,1990,516259,
Seattle,2000,563374,
Seattle,2010,608660,
Providence,1850,41513,
Providence,1860,50666,
Providence,1870,68904,
Providence,1880,104857,
Providence,1890,132146,
Providence,1900,175597,
Providence,1910,223326,
Providence,1920,237595,
Providence,1930,252981,
Providence,1940,253504,
Providence,1950,248674,
Providence,1960,207498,
Providence,1970,179213,
Providence,1980,156804,
Providence,1990,160728,
Providence,2000,173618,
Providence,2010,178042,
Louisville,1850,43194,
Louisville,1860,68032,
Louisville,1870,100753,
Louisville,1880,123758,
Louisville,1890,161129,
Louisville,1900,204731,
Louisville,1910,223928,
Louisville,1920,234891,
Louisville,1930,307745,
Louisville,1940,319077,
Louisville,1950,396129,
Louisville,1960,390639,
Louisville,1970,361472,
Louisville,1980,298451,
Louisville,1990,269063,
Louisville,2000,256231,
Louisville,2010,597337,
Minneapolis,1850,,
Minneapolis,1860,5809,
Minneapolis,1870,13066,
Minneapolis,1880,46887,
Minneapolis,1890,164738,
Minneapolis,1900,202718,
Minneapolis,1910,301408,
Minneapolis,1920,380582,
Minneapolis,1930,464356,
Minneapolis,1940,492370,
Minneapolis,1950,521718,
Minneapolis,1960,482872,
Minneapolis,1970,434400,
Minneapolis,1980,370951,
Minneapolis,1990,368383,
Minneapolis,2000,382618,
Minneapolis,2010,382578,
Newark,1850,38894,
Newark,1860,71941,
Newark,1870,105059,
Newark,1880,136508,
Newark,1890,181830,
Newark,1900,246070,
Newark,1910,347769,
Newark,1920,414524,
Newark,1930,442337,
Newark,1940,429760,
Newark,1950,438776,
Newark,1960,405220,
Newark,1970,381930,
Newark,1980,329248,
Newark,1990,275221,
Newark,2000,273546,
Newark,2010,277140,
Houston,1850,2396,
Houston,1860,4845,
Houston,1870,9332,
Houston,1880,16513,
Houston,1890,27557,
Houston,1900,44663,
Houston,1910,78800,
Houston,1920,138276,
Houston,1930,292352,
Houston,1940,384514,
Houston,1950,596163,
Houston,1960,938219,
Houston,1970,1232802,
Houston,1980,1595138,
Houston,1990,1630553,
Houston,2000,1953631,
Houston,2010,2100263,
